Price,Close,High,Low,Open,Volume
Ticker,XLK,XLK,XLK,XLK,XLK
Date,,,,,
2020-01-02,88.83306121826172,88.83306121826172,87.81527185093063,87.98648909296392,13283500
2020-01-03,87.83427429199219,88.44305222451148,87.52988895429199,87.5394030371598,15011800
2020-01-06,88.04351806640625,88.13864435653018,86.7974420426468,86.95914512447021,7815000
2020-01-07,88.00550079345703,88.44306156616668,87.87233264771746,88.19574618531333,7681800
2020-01-08,88.94718933105469,89.33717964132909,87.93890700837294,88.10061738787097,11627200
2020-01-09,89.95548248291016,90.01255247707864,89.30866260622615,89.76524433093499,7777400
2020-01-10,89.74620056152344,90.46911847618598,89.5940115178213,90.34546442460805,7665300
2020-01-13,90.86863708496094,90.97327024385224,90.10767723325712,90.1552331418585,7762200
2020-01-14,90.44058990478516,91.06838154744426,90.2979076769155,90.9827765649942,8067300
2020-01-15,90.54521942138672,90.98277291407469,90.24083406746817,90.49765626163224,7208500
2020-01-16,91.76277923583984,91.78180014928384,91.00181206990706,91.12547340721557,5771600
2020-01-17,92.38104248046875,92.46664745656676,91.69617364320848,92.19079710505254,10830500
2020-01-21,92.34297943115234,92.8756518874705,92.07664320299327,92.09566410909694,8987500
2020-01-22,92.67591094970703,93.32273069240283,92.59981280183251,92.92322630173982,7745800
2020-01-23,93.11347198486328,93.18957013892494,92.37153312556069,92.77103754870525,7478200
2020-01-24,92.67591094970703,94.00759950903587,92.35249744979973,93.79833323094034,11808700
2020-01-27,90.46913146972656,91.18253540376996,90.08864792014607,90.51669463484417,17787300
2020-01-28,92.20032501220703,92.44764040876994,91.06838844439999,91.25863384834074,15592200
2020-01-29,92.43812561035156,93.09445954891775,92.06715614693243,92.96129139574782,10563300
2020-01-30,93.23712921142578,93.32274145193487,91.83886368289393,92.40007125965494,9966800
2020-01-31,90.67838287353516,92.74249617489872,90.35496936958239,92.6949330176025,13482300
2020-02-03,91.87688446044922,92.10517887810474,90.67837142478866,90.78300455193462,12537800
2020-02-04,94.28345489501953,94.48320710103484,93.24663753185146,93.47492473056622,9548900
2020-02-05,94.83514404296875,95.88147544184739,94.15028247795576,95.83391228476421,16348500
2020-02-06,95.70075225830078,95.72928725211975,94.79711025414286,95.2251496756662,6752800
2020-02-07,94.82562255859375,95.62463122281999,94.63537721678911,95.25366187769812,8299000
2020-02-10,96.10975646972656,96.1287773770693,94.25490231915899,94.27393048362013,8173800
2020-02-11,95.78636169433594,96.9278123000142,95.50100448575624,96.84220005745641,7552900
