Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,return_1d,return_5d,return_10d,return_20d,sma_5,ema_5,close_to_sma_5,sma_10,ema_10,close_to_sma_10,sma_20,ema_20,close_to_sma_20,sma_50,ema_50,close_to_sma_50,sma_200,ema_200,close_to_sma_200,volatility_5d,volatility_10d,volatility_20d,rsi,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,bb_width,bb_position,volume_sma_5,volume_ratio_5,volume_sma_10,volume_ratio_10,volume_sma_20,volume_ratio_20,day_of_week,day_of_month,month,quarter,sentiment_score_mean,sentiment_score_median,sentiment_score_std,sentiment_score_min,sentiment_score_max,news_count,sentiment_positive_mean,sentiment_negative_mean,sentiment_neutral_mean,sentiment_score_mean_lag_1,sentiment_positive_mean_lag_1,sentiment_negative_mean_lag_1,sentiment_score_mean_lag_3,sentiment_positive_mean_lag_3,sentiment_negative_mean_lag_3,sentiment_score_mean_lag_5,sentiment_positive_mean_lag_5,sentiment_negative_mean_lag_5,sentiment_score_mean_lag_7,sentiment_positive_mean_lag_7,sentiment_negative_mean_lag_7
2014-11-03 00:00:00-05:00,23.88788115040498,24.34700918563322,23.841527120512243,24.148347854614258,209130400,0.0,0.0,AAPL,,,,,,24.148347854614258,,,24.148347854614258,,,24.148347854614258,,,24.148347854614258,,,24.148347854614258,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0,3,11,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-04 00:00:00-05:00,24.13953188660119,24.168226773456894,23.777527338873732,23.971773147583008,166297600,0.0,0.0,AAPL,-0.007312082304525402,,,,,24.04240303039551,,,24.051231765747072,,,24.055646133422854,,,24.058294754028317,,,24.059619064331052,,,,,0.0,-0.014085731615029573,-0.002817146323005915,-0.011268585292023658,,,,,,,,,,,,1,4,11,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-05 00:00:00-05:00,24.08213344664368,24.126281356780723,23.8680207136731,24.029157638549805,149743600,0.0,0.0,AAPL,0.0023938358924684433,,,,,24.036128897415963,,,24.04235811328571,,,24.04591971690411,,,24.04819134950097,,,24.049363549268776,,,,,0.0,-0.020383359878852758,-0.006330389034175284,-0.014052970844677475,,,,,,,,,,,,2,5,11,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-06 00:00:00-05:00,24.07571630193361,24.117838262709345,23.898363971341695,24.097885131835938,139874000,0.1175,0.0,AAPL,0.0028601707275777155,,,,,24.061781487098106,,,24.060651791921938,,,24.06092132873963,,,24.06136993790664,,,24.061676504317287,,,,,0.0,-0.019602575038469183,-0.008984826235034065,-0.010617748803435119,,,,,,,,,,,,3,6,11,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-07 00:00:00-05:00,24.108968504094893,24.235332685151086,24.064630847763066,24.166608810424805,134766000,0.0,0.0,AAPL,0.0028518551820166937,,,,24.08275451660156,24.102023255768543,0.003481922874122967,,24.09106917016747,,,24.086486231178327,,,24.08413451353683,,,24.083084782822148,,,,,0.0,-0.013285227084772089,-0.00984490640498167,-0.0034403206797904186,,,,,,159962320.0,0.842485905430729,,,,,4,7,11,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-10 00:00:00-05:00,24.168823526720026,24.237549090025507,24.091231785607164,24.1267032623291,108782000,0.0,0.0,AAPL,-0.0016512680123530465,-0.0008963177280477685,,,24.07842559814453,24.111041664180895,0.0020050174787296093,,24.10032457476819,,,24.09497018774161,,,24.091957304956257,,,24.090537478555184,,0.00441843527779699,,,0.0,-0.011367687914038527,-0.010149462706793042,-0.0012182252072454845,,,,,,139892640.0,0.7776106019587592,,,,,0,10,11,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-11 00:00:00-05:00,24.097880806749796,24.330657707378702,24.031374328979396,24.31957244873047,109769200,0.0,0.0,AAPL,0.007994013284960744,0.014508701505150379,,,24.147985458374023,24.18487310756926,0.007105644098230224,,24.15315450499419,,,24.137436915982043,,,24.128502999022125,,,24.12424647660055,,0.0034250032853729994,,,0.0,0.0056497800142985,-0.006989614162574735,0.012639394176873235,,,,,,128586960.0,0.8536573226398696,,,,,1,11,11,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-12 00:00:00-05:00,24.24863443618936,24.703103039621276,24.246418737261582,24.663198471069336,187769600,0.0,0.0,AAPL,0.014129607872970906,0.026386311249727123,,,24.27479362487793,24.350788661887208,0.016000335664783982,,24.2691919653172,,,24.228317442620288,,,24.205063172945046,,,24.193996849206716,,0.006030465702617044,,,0.0,0.0463299315405763,0.0036742949780554715,0.042655636562520825,,,,,,136192160.0,1.3787107862890198,,,,,2,12,11,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-13 00:00:00-05:00,24.785130494937672,25.15092041375622,24.740791144123737,25.011255264282227,238091600,0.0,0.0,AAPL,0.014112394773985626,0.037902501711224,,,24.45746765136719,24.576823891051767,0.02264288440688511,,24.430638971210715,,,24.35390449759416,,,24.309626184200116,,,24.28847775719885,,0.006951073064132315,,,0.0,0.10543908297511706,0.02402725257746779,0.08141183039764927,,,,,,155835680.0,1.5278375273236526,,,,,3,13,11,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-14 00:00:00-05:00,25.08442099006613,25.314980605119914,24.6543384685837,25.312763214111328,176254400,0.0,0.0,AAPL,0.012054890753910863,0.047427192316370936,,,24.686698532104494,24.826466177924345,0.02536040536941986,24.384726524353027,24.615934606719815,0.03805811350114885,,24.498300311949876,,,24.428937171284254,,,24.395576725366492,,0.006627700417938155,,,0.0,0.174600002940398,0.05414180265005384,0.12045820029034418,,,,,,164133360.0,1.0738487288629197,162047840.0,1.0876689254235046,,,4,14,11,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-17 00:00:00-05:00,25.332703272161158,25.999995590405263,25.117663799452732,25.2706298828125,186986800,0.0,0.0,AAPL,-0.0016645093600583527,0.047413300028831484,0.04647448491942274,,24.91548385620117,24.976252428045363,0.014254028886657055,24.496954727172852,24.74968066666334,0.03158250338689905,,24.608506200238256,,,24.521654672013263,,,24.47916387721403,,0.006633184572345401,0.007299610133818431,,0.0,0.22343510180741788,0.08800046248152665,0.13543463932589123,,,,,,179774320.0,1.040119634439446,159833480.0,1.1698850578739823,,,0,17,11,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-18 00:00:00-05:00,25.259549728071654,25.647510155287353,25.248464467887626,25.598737716674805,176896000,0.0,0.0,AAPL,0.012983761599288934,0.05259818077151723,0.0678700135811956,,25.17131690979004,25.185359182494235,0.016980470605354903,24.65965118408203,24.91932071130878,0.03808190657615462,,24.743403612469585,,,24.63244250631911,,,24.57767814897628,,0.006757019581856978,0.006391786716290346,,0.0,0.2853237944836131,0.12746512888194395,0.15785866560166917,,,,,,193199680.0,0.9156122825876316,160893320.0,1.0994614319600093,,,1,18,11,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
