Date,close,high,low,open,volume,returns,log_returns,sma_5,ema_5,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,rsi,stoch,williams_r,macd,macd_signal,macd_diff,bb_high,bb_low,bb_mid,bb_width,volume_sma_20,volume_ratio,obv,atr,volatility_5,volatility_10,volatility_20,adx,cci,price_position,close_lag_1,returns_lag_1,close_lag_2,returns_lag_2,close_lag_3,returns_lag_3,close_lag_5,returns_lag_5
2024-02-20,486.2082824707031,487.82322868764055,483.9473517931204,487.14788265466376,71736700,-0.005505462079545165,-0.005520672990317175,487.6039978027344,487.7989340379849,487.76548767089844,486.615605558026,483.03416900634767,482.6161916013775,470.30003845214844,472.5145510628752,58.668416204581526,67.34510328982063,-32.65489671017938,5.660501777045681,5.980417054336204,-0.31991527729052294,494.2552225397402,471.81311547295513,483.03416900634767,4.646070300358017,74172305.0,0.9671628783816277,740921600,4.316601620178663,0.009504164212468481,0.0072962323151934926,0.007657704557266535,31.259709622673153,46.153947217456285,0.583333975524604,488.89990234375,-0.0049799226121056694,491.3467712402344,0.006899696337564265,487.9798583984375,0.009087714158905413,490.338623046875,-0.0004389568752242168
2024-02-21,486.6487426757813,486.8053476964511,483.07627838297776,484.8967856125797,59293400,0.0009059084778233473,0.0009054983903873531,488.2167114257812,487.4155369172504,488.0816284179688,486.621630488527,483.6385559082031,483.0002440846541,471.0992999267578,473.0688330869108,59.15789713886246,68.07121324874186,-31.928786751258137,5.302487108424032,5.84483106515377,-0.5423439567297379,494.25481862032296,473.02229319608324,483.6385559082031,4.390163928177339,74639710.0,0.7943948335276222,800215000,4.274635026842569,0.006669153730656141,0.007261811239996963,0.007649760452635824,29.66132892950166,33.397214490243705,0.9580042612241634,486.2082824707031,-0.005505462079545165,488.89990234375,-0.0049799226121056694,491.3467712402344,0.006899696337564265,483.5851745605469,-0.013773029838774375
2024-02-22,496.72015380859375,497.6891155849243,492.3353030771788,493.3042947228613,76402500,0.020695442625487948,0.020484201467301646,489.9647705078125,490.51707588103153,489.00166015625,488.45772563763,484.7205749511719,484.3069021536008,472.06158264160155,473.9963358603101,68.37924326412784,94.8411125956133,-5.158887404386699,5.764981494219114,5.828861150966839,-0.06387965674772467,496.01646184477437,473.4246880575694,484.7205749511719,4.66078292415805,74371585.0,1.0273076740263098,876617500,4.757902018435457,0.010804220775451184,0.009436225780281993,0.008793909652895332,29.81246953243933,163.5516438589648,0.8190146227551599,486.6487426757813,0.0009059084778233473,486.2082824707031,-0.005505462079545165,488.89990234375,-0.0049799226121056694,487.9798583984375,0.009087714158905413
2024-02-23,497.0627136230469,499.2942827215487,496.3286444476272,498.4525345350048,61321800,0.0006896434779755101,0.0006894057831889809,491.107958984375,492.69895512837,489.9344177246094,490.0222689077058,485.6905242919922,485.52174134116706,472.9958190917969,474.900899694143,68.6386088324082,88.54270272416522,-11.45729727583477,6.088963559522426,5.880881632677957,0.20808192684446958,497.7046705400696,473.6763780439147,485.6905242919922,4.947243418261407,73811425.0,0.8307900843263764,937939300,4.629883179541603,0.010686824606968,0.009432259031140205,0.008767814832324623,30.13982585404105,170.27247302073215,0.24752485218780657,496.72015380859375,0.020695442625487948,486.6487426757813,0.0009059084778233473,486.2082824707031,-0.005505462079545165,491.3467712402344,0.006899696337564265
2024-02-26,495.2422180175781,497.9436022039435,495.1149745784592,497.5031487407398,50386700,-0.003662506874030691,-0.0036692302736837036,492.3764221191406,493.54670942477276,490.4032440185547,490.97135056404613,486.5997909545898,486.4475010246348,473.8525079345703,475.6985984519248,65.5609315307298,78.67078826924279,-21.329211730757212,6.128181043189727,5.930341514780311,0.19783952840941588,498.61526726335836,474.5843146458213,486.5997909545898,4.938545610632965,72498680.0,0.695001619339828,887552600,4.501222068537508,0.010474718764104005,0.009477253453366885,0.00883127642714168,30.15291178788868,135.30089224481245,0.044984160505261425,497.0627136230469,0.0006896434779755101,496.72015380859375,0.020695442625487948,486.6487426757813,0.0009059084778233473,488.89990234375,-0.0049799226121056694
2024-02-27,496.1622314453125,496.3873567404861,494.0285442573819,495.9371360194894,48854500,0.001857703956292589,0.0018559805583433426,494.3672119140625,494.418550098286,490.98560485839846,491.9151470879127,487.3661575317383,487.3727134456517,474.60282165527343,476.5010938634302,66.3813290966886,83.51354440195153,-16.486455598048472,6.162461555475431,5.976765522919336,0.18569603255609568,499.76227224011234,474.9700428233642,487.3661575317383,5.086982145479315,71875265.0,0.6797122765390847,936407100,4.348192812435129,0.009520055600916765,0.009466549380299906,0.008717440010515672,29.900856571221052,113.9001602077061,0.9045599016977439,495.2422180175781,-0.003662506874030691,497.0627136230469,0.0006896434779755101,496.72015380859375,0.020695442625487948,486.2082824707031,-0.005505462079545165
2024-02-28,495.5064697265625,496.0937011467327,494.2340652877106,494.5962012865989,56506600,-0.0013216679488879945,-0.0013225421223011019,496.1387573242188,494.7811899743782,492.177734375,492.56811484039446,488.1183319091797,488.14735690097655,475.3105816650391,477.24640272080796,65.18930267841958,80.06175338527838,-19.93824661472162,6.066780548443205,5.99476852802411,0.07201202041909482,500.57316090114364,475.66350291721574,488.1183319091797,5.103200669906953,71769675.0,0.7873325328559729,879900500,4.175333765661326,0.009755938887119845,0.00797682535095803,0.008726173482509718,29.666805298601112,98.40481724145874,0.6842223613888386,496.1622314453125,0.001857703956292589,495.2422180175781,-0.003662506874030691,497.0627136230469,0.0006896434779755101,486.6487426757813,0.0009059084778233473
2024-02-29,497.2878112792969,498.9125546458191,494.61581858519605,497.2780440014064,83924800,0.0035949915118511644,0.0035885449754088044,496.2522888183594,495.61673040935113,493.10852966308596,493.4262414656494,489.35156707763673,489.01787636557845,476.0691192626953,478.03234031133695,66.9267157399872,89.43835862700531,-10.561641372994687,6.064781016673805,6.008771025754049,0.05600999091975645,500.20673940809786,478.4963947471756,489.35156707763673,4.436553619430398,69665360.0,1.2046847960019154,963825300,4.1840053581585925,0.002817052095205528,0.00765278019400511,0.0076459266529216125,29.86187617029524,110.00444329134476,0.621865680446561,495.5064697265625,-0.0013216679488879945,496.1622314453125,0.001857703956292589,495.2422180175781,-0.003662506874030691,496.72015380859375,0.020695442625487948
2024-03-01,501.95648193359375,502.3871382425429,497.7576277253672,498.1687196091282,76844800,0.009388266811298784,0.009344470932649295,497.2310424804688,497.72998091743204,494.16950073242185,494.9771942780029,490.5089447021484,490.25012451491324,476.8693524169922,478.97054194358236,71.01049188938903,98.05049788249322,-1.949502117506779,6.366529686237925,6.0803227578508245,0.2862069283871005,501.5553924799989,479.46249692429797,490.5089447021484,4.504075979514783,68913020.0,1.1150984240713875,1040670100,4.2493854728076945,0.005006098597122916,0.00787017410695759,0.007419556806450096,30.499679932541852,147.17429326720614,0.906975843894923,497.2878112792969,0.0035949915118511644,495.5064697265625,-0.0013216679488879945,496.1622314453125,0.001857703956292589,497.0627136230469,0.0006896434779755101
2024-03-04,501.4181823730469,503.2778482150625,501.124566645019,501.1539580871736,49799300,-0.001072402847500431,-0.0010729782828699003,498.4662353515625,498.959381402637,495.42132873535155,496.1482830225563,491.3873794555664,491.3137490728307,477.60263916015623,479.85084156826724,69.9381963406781,91.90791330546544,-8.09208669453455,6.487448141194875,6.161747834519635,0.3257003066752402,502.95760144094936,479.8171574701835,491.3873794555664,4.7092060028901,66441575.0,0.749520161134049,990870800,4.099663765467393,0.004371110104879001,0.007567114984386561,0.007200068335204058,31.203170535464835,141.91118611697587,0.136357331107566,501.95648193359375,0.009388266811298784,497.2878112792969,0.0035949915118511644,495.5064697265625,-0.0013216679488879945,495.2422180175781,-0.003662506874030691
