Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-05-01 00:00:00-05:00,4.150000095367432,4.241000175476074,4.124000072479248,4.230999946594238,0,0.0,0.0
2025-05-02 00:00:00-05:00,4.224999904632568,4.331999778747559,4.224999904632568,4.322000026702881,0,0.0,0.0
2025-05-05 00:00:00-05:00,4.301000118255615,4.370999813079834,4.297999858856201,4.3429999351501465,0,0.0,0.0
2025-05-06 00:00:00-05:00,4.336999893188477,4.36299991607666,4.306000232696533,4.308000087738037,0,0.0,0.0
2025-05-07 00:00:00-05:00,4.320000171661377,4.328000068664551,4.260000228881836,4.275000095367432,0,0.0,0.0
2025-05-08 00:00:00-05:00,4.300000190734863,4.383999824523926,4.2829999923706055,4.373000144958496,0,0.0,0.0
2025-05-09 00:00:00-05:00,4.392000198364258,4.3979997634887695,4.3429999351501465,4.375,0,0.0,0.0
2025-05-12 00:00:00-05:00,4.460999965667725,4.468999862670898,4.428999900817871,4.456999778747559,0,0.0,0.0
2025-05-13 00:00:00-05:00,4.453000068664551,4.505000114440918,4.428999900817871,4.499000072479248,0,0.0,0.0
2025-05-14 00:00:00-05:00,4.4770002365112305,4.53000020980835,4.4770002365112305,4.5279998779296875,0,0.0,0.0
2025-05-15 00:00:00-05:00,4.513000011444092,4.541999816894531,4.440999984741211,4.454999923706055,0,0.0,0.0
2025-05-16 00:00:00-05:00,4.395999908447266,4.445000171661377,4.388000011444092,4.440999984741211,0,0.0,0.0
2025-05-19 00:00:00-05:00,4.548999786376953,4.561999797821045,4.4710001945495605,4.474999904632568,0,0.0,0.0
2025-05-20 00:00:00-05:00,4.474999904632568,4.5229997634887695,4.4730000495910645,4.480999946594238,0,0.0,0.0
2025-05-21 00:00:00-05:00,4.543000221252441,4.604000091552734,4.5229997634887695,4.5960001945495605,0,0.0,0.0
2025-05-22 00:00:00-05:00,4.61299991607666,4.629000186920166,4.540999889373779,4.552999973297119,0,0.0,0.0
2025-05-23 00:00:00-05:00,4.4730000495910645,4.5269999504089355,4.465000152587891,4.508999824523926,0,0.0,0.0
2025-05-27 00:00:00-05:00,4.468999862670898,4.486999988555908,4.432000160217285,4.434000015258789,0,0.0,0.0
2025-05-28 00:00:00-05:00,4.443999767303467,4.500999927520752,4.438000202178955,4.4770002365112305,0,0.0,0.0
2025-05-29 00:00:00-05:00,4.497000217437744,4.499000072479248,4.415999889373779,4.423999786376953,0,0.0,0.0
2025-05-30 00:00:00-05:00,4.421999931335449,4.441999912261963,4.394000053405762,4.415999889373779,0,0.0,0.0
2025-06-02 00:00:00-05:00,4.438000202178955,4.46999979019165,4.418000221252441,4.461999893188477,0,0.0,0.0
2025-06-03 00:00:00-05:00,4.409999847412109,4.473999977111816,4.406000137329102,4.460000038146973,0,0.0,0.0
2025-06-04 00:00:00-05:00,4.427999973297119,4.429999828338623,4.348999977111816,4.364999771118164,0,0.0,0.0
2025-06-05 00:00:00-05:00,4.3379998207092285,4.400000095367432,4.317999839782715,4.394000053405762,0,0.0,0.0
2025-06-06 00:00:00-05:00,4.4029998779296875,4.51200008392334,4.400000095367432,4.510000228881836,0,0.0,0.0
2025-06-09 00:00:00-05:00,4.501999855041504,4.51800012588501,4.46999979019165,4.48199987411499,0,0.0,0.0
2025-06-10 00:00:00-05:00,4.449999809265137,4.48199987411499,4.440000057220459,4.473999977111816,0,0.0,0.0
2025-06-11 00:00:00-05:00,4.498000144958496,4.50600004196167,4.4070000648498535,4.4120001792907715,0,0.0,0.0
2025-06-12 00:00:00-05:00,4.367000102996826,4.38700008392334,4.343999862670898,4.35699987411499,0,0.0,0.0
