Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-05-01 00:00:00-04:00,404.87019345724786,407.2287617258187,403.3539753192677,403.7503967285156,1917600,0.0,0.0,0.0
2025-05-02 00:00:00-04:00,408.0711023076376,410.14227407885096,406.63415033950685,409.31976318359375,2277700,0.0,0.0,0.0
2025-05-05 00:00:00-04:00,407.11978152026444,410.7071716057982,406.7630082877654,408.54681396484375,3866000,0.0,0.0,0.0
2025-05-06 00:00:00-04:00,404.7909581022079,408.03149469454564,403.839613181627,404.5630187988281,1745600,0.0,0.0,0.0
2025-05-07 00:00:00-04:00,406.1683721730406,409.0818939816808,404.47378262889873,407.34765625,2420600,0.0,0.0,0.0
2025-05-08 00:00:00-04:00,409.3791873651884,413.9872984629133,407.86296938483486,410.15216064453125,2001000,0.0,0.0,0.0
2025-05-09 00:00:00-04:00,410.7071171202058,411.4305528549194,407.86297221675676,408.705322265625,1789200,0.0,0.0,0.0
2025-05-12 00:00:00-04:00,419.15035518850954,420.47828206652446,417.2972032748417,420.408935546875,2398600,0.0,0.0,0.0
2025-05-13 00:00:00-04:00,418.8729153368197,420.17111375160295,417.6242847178206,417.7134704589844,3018000,0.0,0.0,0.0
2025-05-14 00:00:00-04:00,418.27833363675563,418.85312654222105,415.8305795912092,416.7621154785156,3064800,0.0,0.0,0.0
2025-05-15 00:00:00-04:00,414.7702329589408,419.8639214279919,414.7206651616116,419.6657409667969,3927000,0.0,0.0,0.0
2025-05-16 00:00:00-04:00,420.2428868041787,423.2578063215004,419.013130142754,423.0296936035156,2430300,0.322,0.0,0.0
2025-05-19 00:00:00-04:00,420.20323720621764,425.12229409999134,420.1338076489428,424.5074157714844,3121500,0.0,0.0,0.0
2025-05-20 00:00:00-04:00,423.87270253218264,424.66611836795556,421.5222667585367,423.4462585449219,1971000,0.0,0.0,0.0
2025-05-21 00:00:00-04:00,419.59827668017635,421.0660732830416,414.6395411828583,415.2940979003906,3624800,0.0,0.0,0.0
2025-05-22 00:00:00-04:00,414.42135354454325,417.67428280394,413.9254799972833,415.363525390625,2638600,0.0,0.0,0.0
2025-05-23 00:00:00-04:00,410.5237832174736,414.7188842053389,410.4146753019612,412.89404296875,3117800,0.0,0.0,0.0
2025-05-27 00:00:00-04:00,417.22805319892547,420.3619476724175,415.73050526324096,420.35205078125,3126600,0.0,0.0,0.0
2025-05-28 00:00:00-04:00,420.2330417092015,421.32393939003464,417.26769707278527,417.9421081542969,1790900,0.0,0.0,0.0
2025-05-29 00:00:00-04:00,418.9734802246094,419.5288561910605,415.1254965529691,418.9734802246094,2751400,0.0,0.0,0.0
2025-05-30 00:00:00-04:00,418.67595210138484,420.76852391852094,416.0478283851422,419.3602600097656,2957500,0.0,0.0,0.0
2025-06-02 00:00:00-04:00,417.83300858432995,420.3520549357212,415.62140144233706,420.21319580078125,2636100,0.0,0.0,0.0
2025-06-03 00:00:00-04:00,419.5784323895792,422.851185553614,418.9833781054679,422.4941711425781,2332600,0.0,0.0,0.0
2025-06-04 00:00:00-04:00,422.86113215727704,423.6346936824837,421.3536571994347,421.4330139160156,2163300,0.0,0.0,0.0
2025-06-05 00:00:00-04:00,422.4346784035502,423.2974935156745,419.3701533101366,420.47100830078125,3018800,0.0,0.0,0.0
2025-06-06 00:00:00-04:00,424.24958068615996,426.5405141061796,423.0297208360544,424.8446350097656,3081100,0.0,0.0,0.0
2025-06-09 00:00:00-04:00,424.9834512323645,426.1735598441913,422.91070345043676,424.82476806640625,2680200,0.0,0.0,0.0
2025-06-10 00:00:00-04:00,424.73551565529556,426.55042978015143,424.3388228721436,426.064453125,2022600,0.0,0.0,0.0
2025-06-11 00:00:00-04:00,426.31242963420135,428.49428554348617,424.6364047390915,426.0545959472656,3025000,0.0,0.0,0.0
2025-06-12 00:00:00-04:00,424.66614613608635,426.9967277501557,423.4462862332883,426.9372253417969,2587700,0.0,0.0,0.0
2025-06-13 00:00:00-04:00,422.59337122385324,423.39671427438753,418.1206120769178,419.32061767578125,4826100,0.0,0.0,0.0
2025-06-16 00:00:00-04:00,421.54210303220754,424.6661306859937,421.37352296989803,422.761962890625,3177100,0.0,0.0,0.0
2025-06-17 00:00:00-04:00,420.95693705715496,422.9007830327101,418.8742622351846,419.6180725097656,2450200,0.0,0.0,0.0
2025-06-18 00:00:00-04:00,420.173478264463,422.69249393382745,418.7453601174651,419.3503112792969,2786700,0.0,0.0,0.0
2025-06-20 00:00:00-04:00,421.0699276528071,421.845688886139,418.43433053647345,419.46868896484375,3810500,1.199,0.0,0.0
2025-06-23 00:00:00-04:00,419.707343939169,423.64582141697144,417.3402692284403,423.4071350097656,4315000,0.0,0.0,0.0
2025-06-24 00:00:00-04:00,426.2019142362501,429.38454166513753,425.35652597997205,428.44964599609375,4958200,0.0,0.0,0.0
2025-06-25 00:00:00-04:00,428.40983761348076,428.56897201371714,426.18201671373754,427.524658203125,3265500,0.0,0.0,0.0
2025-06-26 00:00:00-04:00,428.47948114120237,431.8311680051186,428.4595703705398,431.57257080078125,2444800,0.0,0.0,0.0
2025-06-27 00:00:00-04:00,432.78593016504504,437.17197535338823,432.73621394355746,435.6204528808594,3621000,0.0,0.0,0.0
2025-06-30 00:00:00-04:00,438.0571472461507,438.86274427182894,436.27686341143,438.25604248046875,2827800,0.0,0.0,0.0
2025-07-01 00:00:00-04:00,437.79857460901394,443.5471722890688,437.60960439715416,442.4730529785156,4520300,0.0,0.0,0.0
2025-07-02 00:00:00-04:00,442.26417054334405,442.98026019862255,440.96128983540154,442.29400634765625,3141700,0.0,0.0,0.0
2025-07-03 00:00:00-04:00,443.24877352478455,446.42141494155914,443.14931073529294,445.6556091308594,2807100,0.0,0.0,0.0
2025-07-07 00:00:00-04:00,444.94953302703465,445.4070254962992,439.1611439330621,441.587890625,3657500,0.0,0.0,0.0
2025-07-08 00:00:00-04:00,441.27953468993684,441.9657885036429,439.648429871336,439.9766540527344,3563200,0.0,0.0,0.0
2025-07-09 00:00:00-04:00,441.9757732515069,443.1791911757574,439.8772204834521,442.10504150390625,3251900,0.0,0.0,0.0
