Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,return_1d,return_5d,return_10d,return_20d,sma_5,ema_5,close_to_sma_5,sma_10,ema_10,close_to_sma_10,sma_20,ema_20,close_to_sma_20,sma_50,ema_50,close_to_sma_50,sma_200,ema_200,close_to_sma_200,volatility_5d,volatility_10d,volatility_20d,rsi,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,bb_width,bb_position,volume_sma_5,volume_ratio_5,volume_sma_10,volume_ratio_10,volume_sma_20,volume_ratio_20,day_of_week,day_of_month,month,quarter,sentiment_score_mean,sentiment_score_median,sentiment_score_std,sentiment_score_min,sentiment_score_max,news_count,sentiment_positive_mean,sentiment_negative_mean,sentiment_neutral_mean,sentiment_score_mean_lag_1,sentiment_positive_mean_lag_1,sentiment_negative_mean_lag_1,sentiment_score_mean_lag_3,sentiment_positive_mean_lag_3,sentiment_negative_mean_lag_3,sentiment_score_mean_lag_5,sentiment_positive_mean_lag_5,sentiment_negative_mean_lag_5,sentiment_score_mean_lag_7,sentiment_positive_mean_lag_7,sentiment_negative_mean_lag_7,target
2014-11-03,23.887886,24.347015,23.841534,24.148354,2.091304e+08,0.0,0.0,AAPL,0.0,0.0,0.0,0.0,0.0,24.148354,0.0,0.0,24.148354,0.0,0.0,24.148354,0.0,0.0,24.148354,0.0,0.0,24.148354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,4.0,0.008140091,0.0072583226,0.6693675,-0.9136948,0.9399041,6.0,0.27894312,0.27080303,0.45025384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2014-11-04,24.139526,24.16822,23.777521,23.971767,1.662976e+08,0.0,0.0,AAPL,-0.0073125544,0.0,0.0,0.0,0.0,24.042402,0.0,0.0,24.051231,0.0,0.0,24.055645,0.0,0.0,24.058294,0.0,0.0,24.05962,0.0,0.0,0.0,0.0,0.0,-0.014086644,-0.002817329,-0.011269316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,11.0,4.0,0.024465222,0.024465222,0.8529604,-0.5786689,0.6275993,2.0,0.31379965,0.28933445,0.3968659,0.008140091,0.27894312,0.27080303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2014-11-05,24.082142,24.12629,23.868029,24.029165,1.497436e+08,0.0,0.0,AAPL,0.0023943933,0.0,0.0,0.0,0.0,24.036133,0.0,0.0,24.04236,0.0,0.0,24.045923,0.0,0.0,24.048193,0.0,0.0,24.049366,0.0,0.0,0.0,0.0,0.0,-0.020383913,-0.0063306456,-0.0140532665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,11.0,4.0,0.07845261,0.054641124,0.2015484,-0.14013141,0.3446596,4.0,0.11348546,0.035032853,0.8514817,0.024465222,0.31379965,0.28933445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2014-11-06,24.075718,24.11784,23.898365,24.097887,1.39874e+08,0.1175,0.0,AAPL,0.0028599317,0.0,0.0,0.0,0.0,24.061785,0.0,0.0,24.060654,0.0,0.0,24.060925,0.0,0.0,24.061373,0.0,0.0,24.06168,0.0,0.0,0.0,0.0,0.0,-0.019603295,-0.008985176,-0.01061812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,11.0,4.0,0.2571578,0.27028745,0.42601162,-0.4524234,0.83239496,6.0,0.3325617,0.0754039,0.5920344,0.07845261,0.11348546,0.035032853,0.008140091,0.27894312,0.27080303,0.0,0.0,0.0,0.0,0.0,0.0,1
2014-11-07,24.108969,24.235332,24.06463,24.166609,1.34766e+08,0.0,0.0,AAPL,0.0028517758,0.0,0.0,0.0,24.082756,24.102024,0.0034818435,0.0,24.09107,0.0,0.0,24.086489,0.0,0.0,24.084137,0.0,0.0,24.083086,0.0,0.0,0.0,0.0,0.0,-0.013286224,-0.009845385,-0.003440838,0.0,0.0,0.0,0.0,0.0,1.5996232e+08,0.8424859,0.0,0.0,0.0,0.0,4.0,7.0,11.0,4.0,0.31539798,0.37901482,0.39523327,-0.50247276,0.86753684,11.0,0.36797696,0.052578997,0.57944405,0.2571578,0.3325617,0.0754039,0.024465222,0.31379965,0.28933445,0.0,0.0,0.0,0.0,0.0,0.0,0
2014-11-10,24.168823,24.237549,24.091232,24.126703,1.08782e+08,0.0,0.0,AAPL,-0.001651268,-0.0008965545,0.0,0.0,24.078426,24.111042,0.0020049857,0.0,24.100327,0.0,0.0,24.09497,0.0,0.0,24.091959,0.0,0.0,24.09054,0.0,0.0044186525,0.0,0.0,0.0,-0.011368888,-0.010150086,-0.0012188028,0.0,0.0,0.0,0.0,0.0,1.3989264e+08,0.7776106,0.0,0.0,0.0,0.0,0.0,10.0,11.0,4.0,-0.022598049,0.02313407,0.563586,-0.86189634,0.6150475,7.0,0.211039,0.23363705,0.55532396,-0.010659586,0.2861721,0.2968317,0.31539798,0.36797696,0.052578997,0.07845261,0.11348546,0.035032853,0.008140091,0.27894312,0.27080303,1
2014-11-11,24.097883,24.33066,24.031376,24.319574,1.097692e+08,0.0,0.0,AAPL,0.007994092,0.014509023,0.0,0.0,24.147987,24.184874,0.0071056276,0.0,24.153156,0.0,0.0,24.137438,0.0,0.0,24.128504,0.0,0.0,24.124249,0.0,0.0034250133,0.0,0.0,0.0,0.005648585,-0.0069903517,0.012638937,0.0,0.0,0.0,0.0,0.0,1.2858696e+08,0.8536573,0.0,0.0,0.0,0.0,1.0,11.0,11.0,4.0,0.11057851,0.0075671957,0.5586468,-0.70866996,0.8638494,9.0,0.2759024,0.16532388,0.5587737,-0.022598049,0.211039,0.23363705,0.4196759,0.5936926,0.17401673,0.2571578,0.3325617,0.0754039,0.024465222,0.31379965,0.28933445,1
2014-11-12,24.248636,24.703104,24.24642,24.6632,1.877696e+08,0.0,0.0,AAPL,0.014129607,0.026386065,0.0,0.0,24.274796,24.35079,0.016000366,0.0,24.269194,0.0,0.0,24.22832,0.0,0.0,24.205065,0.0,0.0,24.193998,0.0,0.0060305055,0.0,0.0,0.0,0.046328753,0.0036734696,0.042655285,0.0,0.0,0.0,0.0,0.0,1.3619216e+08,1.3787107,0.0,0.0,0.0,0.0,2.0,12.0,11.0,4.0,-0.1300276,-0.39271888,0.55757856,-0.50773877,0.51037484,3.0,0.17012495,0.30015257,0.5297225,0.11057851,0.2759024,0.16532388,-0.010659586,0.2861721,0.2968317,0.31539798,0.36797696,0.052578997,0.07845261,0.11348546,0.035032853,1
2014-11-13,24.785128,25.150917,24.740788,25.011251,2.380916e+08,0.0,0.0,AAPL,0.0141121615,0.037902262,0.0,0.0,24.457468,24.576824,0.022642728,0.0,24.43064,0.0,0.0,24.353905,0.0,0.0,24.309628,0.0,0.0,24.288479,0.0,0.0069510317,0.0,0.0,0.0,0.10543748,0.024026271,0.081411205,0.0,0.0,0.0,0.0,0.0,1.5583568e+08,1.5278375,0.0,0.0,0.0,0.0,3.0,13.0,11.0,4.0,0.27319407,0.39025766,0.4592158,-0.5709166,0.71494514,6.0,0.36834684,0.095152766,0.5365004,-0.1300276,0.17012495,0.30015257,-0.022598049,0.211039,0.23363705,0.4196759,0.5936926,0.17401673,0.2571578,0.3325617,0.0754039,1
2014-11-14,25.084406,25.314966,24.654324,25.312748,1.762544e+08,0.0,0.0,AAPL,0.012054435,0.047426563,0.0,0.0,24.686695,24.82646,0.025359914,24.384726,24.615932,0.038057514,0.0,24.498299,0.0,0.0,24.428936,0.0,0.0,24.395576,0.0,0.006627607,0.0,0.0,0.0,0.17459716,0.05414045,0.12045672,0.0,0.0,0.0,0.0,0.0,1.6413336e+08,1.0738487,1.6204784e+08,1.0876689,0.0,0.0,4.0,14.0,11.0,4.0,-0.02437208,0.059335224,0.6492357,-0.9882311,0.83369464,5.0,0.1923562,0.21672827,0.5909155,0.27319407,0.36834684,0.095152766,0.11057851,0.2759024,0.16532388,-0.010659586,0.2861721,0.2968317,0.31539798,0.36797696,0.052578997,0
